pm2.5,pm10,o3,no2,so2,co
181.0,85.0,7.0,11.0,1.0,6.0
145.0,119.0,10.0,14.0,4.0,12.0
149.0,111.0,14.0,12.0,4.0,10.0
161.0,133.0,13.0,14.0,4.0,10.0
155.0,142.0,16.0,18.0,4.0,12.0
159.0,126.0,18.0,17.0,4.0,9.0
138.0,148.0,18.0,18.0,4.0,11.0
142.0,118.0,15.0,16.0,4.0,10.0
187.0,125.0,13.0,16.0,4.0,10.0
200.0,174.0,11.0,13.0,3.0,11.0
179.0,172.0,11.0,18.0,3.0,11.0
188.0,227.0,17.0,23.0,3.0,10.0
211.0,255.0,10.0,29.0,4.0,19.0
203.0,235.0,16.0,29.0,5.0,17.0
218.0,210.0,17.0,23.0,5.0,13.0
263.0,222.0,20.0,27.0,4.0,9.0
316.0,248.0,19.0,47.0,4.0,7.0
238.0,385.0,14.0,67.0,5.0,12.0
254.0,223.0,16.0,71.0,4.0,7.0
284.0,231.0,10.0,75.0,4.0,9.0
175.0,352.0,20.0,72.0,4.0,10.0
160.0,258.0,9.0,59.0,4.0,25.0
163.0,121.0,15.0,19.0,1.0,5.0
161.0,146.0,6.0,15.0,2.0,5.0
177.0,143.0,12.0,13.0,6.0,6.0
198.0,189.0,2.0,15.0,5.0,6.0
196.0,224.0,4.0,17.0,7.0,13.0
169.0,133.0,3.0,12.0,4.0,6.0
326.0,127.0,2.0,13.0,4.0,8.0
338.0,280.0,2.0,18.0,4.0,8.0
386.0,402.0,8.0,25.0,7.0,5.0
258.0,480.0,5.0,27.0,7.0,7.0
360.0,282.0,10.0,21.0,6.0,8.0
270.0,357.0,15.0,22.0,5.0,18.0
328.0,256.0,5.0,19.0,4.0,6.0
341.0,322.0,6.0,19.0,5.0,6.0
301.0,343.0,9.0,21.0,4.0,6.0
265.0,320.0,11.0,20.0,4.0,8.0
272.0,228.0,4.0,20.0,3.0,6.0
300.0,261.0,11.0,22.0,3.0,9.0
296.0,275.0,3.0,22.0,3.0,9.0
298.0,297.0,7.0,24.0,4.0,10.0
350.0,278.0,10.0,23.0,3.0,6.0
277.0,347.0,7.0,26.0,3.0,8.0
395.0,245.0,7.0,24.0,6.0,9.0
426.0,410.0,8.0,27.0,6.0,12.0
259.0,484.0,7.0,30.0,4.0,12.0
274.0,221.0,7.0,22.0,3.0,10.0
227.0,270.0,7.0,22.0,3.0,9.0
209.0,205.0,4.0,19.0,2.0,9.0
326.0,171.0,4.0,21.0,2.0,6.0
269.0,360.0,4.0,26.0,5.0,9.0
254.0,230.0,8.0,25.0,3.0,9.0
251.0,225.0,4.0,23.0,3.0,8.0
319.0,219.0,1.0,20.0,3.0,8.0
277.0,309.0,1.0,20.0,6.0,9.0
257.0,216.0,1.0,30.0,6.0,16.0
247.0,216.0,5.0,28.0,5.0,10.0
337.0,291.0,4.0,35.0,3.0,9.0
402.0,295.0,8.0,36.0,2.0,9.0
277.0,442.0,10.0,41.0,3.0,11.0
379.0,216.0,1.0,26.0,2.0,12.0
322.0,322.0,18.0,73.0,3.0,17.0
384.0,321.0,17.0,75.0,4.0,19.0
450.0,398.0,15.0,81.0,7.0,27.0
411.0,558.0,16.0,86.0,6.0,30.0
312.0,497.0,10.0,85.0,5.0,36.0
224.0,349.0,10.0,80.0,6.0,27.0
203.0,217.0,6.0,76.0,7.0,26.0
230.0,190.0,17.0,70.0,5.0,25.0
291.0,203.0,15.0,80.0,4.0,22.0
323.0,328.0,25.0,95.0,7.0,31.0
261.0,495.0,17.0,98.0,13.0,36.0
244.0,370.0,17.0,74.0,10.0,28.0
345.0,282.0,12.0,41.0,5.0,20.0
361.0,425.0,5.0,44.0,2.0,24.0
262.0,253.0,2.0,43.0,2.0,19.0
215.0,297.0,1.0,43.0,2.0,15.0
206.0,196.0,21.0,40.0,2.0,12.0
241.0,181.0,9.0,37.0,2.0,11.0
239.0,220.0,11.0,41.0,3.0,12.0
229.0,217.0,11.0,38.0,2.0,12.0
